id	id_code	text	description	axis_label	topic	agree_dir	type	phase	macro_cell	axis_code	short_quiz	removal_priority
17	P17	The government should be able to monitor private communications if it improves national security.	Stopping terrorism and crime requires monitoring communications and gathering intelligence. Security hawks prioritize safety over privacy. Privacy advocates argue surveillance creates police states and security agencies abuse powers against innocent citizens.	Governance	Surveillance	1	core	1	ALL	gov	yes	
18	P18	Police should be given broad authority to maintain law and order, even if it limits some freedoms.	Effective law enforcement needs flexibility to stop crime before it happens. Law-and-order advocates think safety requires strong policing. Civil rights defenders fear this enables abuse, discrimination, and that prevention doesn't justify violating rights.	Governance	Police Powers	1	core	1	ALL	gov	yes	
19	P19	No branch of government should be allowed to accumulate too much power.	Separation of powers and term limits prevent any person or group from becoming too powerful. Constitutional conservatives see this as essential for freedom. Efficiency advocates think divided government causes gridlock and voters can remove bad leaders.	Governance	Checks and Balances	-1	core	1	ALL	gov	yes	
20	P20	Even hateful or offensive speech should remain legal and free from government restriction.	Even racist, sexist, or hateful speech deserves legal protection from government censorship. Free speech absolutists argue offensive ideas deserve protection. Others maintain hate speech causes real harm and tolerance shouldn't protect intolerance.	Governance	Free Speech	-1	core	1	ALL	gov	yes	
21	P21	People should have the right to own weapons without heavy government regulation.	Gun ownership protects against crime and tyranny, so regulations should be minimal. Second Amendment defenders see this as fundamental freedom. Gun control advocates argue easy access increases violence and modern weapons exceed self-defense needs.	Governance	Right to Bear Arms	-1	core	1	ALL	gov		
22	P22	Major policies should be decided directly by citizens through referendums.	Voters should directly decide major issues rather than leaving them to politicians. Direct democracy supporters trust citizen wisdom over representatives. Critics worry about mob rule, minority rights, and that complex issues need deliberation.	Governance	Direct Democracy	-1	core	1	ALL	gov		
23	P23	It is better to let some guilty people go free than to risk punishing an innocent person.	Legal systems should require proof beyond doubt because wrongful conviction is worse than acquittal. This position prioritizes protecting innocence. Others argue it lets criminals escape justice and some certainty must be sacrificed for safety.	Governance	Due Process	-1	core	1	ALL	gov		
24	P24	The justice system should focus on rehabilitation rather than harsh punishment, even for serious crimes.	Criminals can be reformed through education and therapy rather than just punished. Rehabilitation advocates see this as both humane and practical. Hardliners think serious crimes deserve serious punishment and rehabilitation often fails.	Governance	Rehabilitation vs. Punishment	-1	core	1	ALL	gov		
25	P25	Jobs and education should be awarded strictly on merit, without regard to race, gender, or background.	Only individual ability should determine opportunities, ignoring group identities entirely. Meritocrats see this as true fairness. Critics argue historical discrimination created current disparities and colorblindness perpetuates inequality.	Social	Race and Inequality	1	core	1	ALL	soc		second
26	P26	Men and women naturally have different roles in society that should be respected.	Biological differences mean men and women naturally excel at different tasks and roles. Traditionalists see this as acknowledging reality. Feminists argue most differences are cultural and biological arguments have justified discrimination.	Social	Gender Roles	1	core	1	ALL	soc		
27	P27	Maintaining a strong national culture is more important than embracing global cosmopolitanism.	Preserving distinct national traditions matters more than becoming part of global culture. Nationalists value unique heritage and identity. Cosmopolitans think isolation breeds prejudice and cultures grow through exchange.	Social	National Identity	1	core	1	ALL	soc		
28	P28	Schools should teach children to be proud of their nation and its history.	Children should learn patriotic history that builds love and respect for their country. Patriots think this creates unity and belonging. Educators worry about propaganda, whitewashing problems, and that critical thinking requires honest history.	Social	Patriotism	1	core	1	ALL	soc	yes	
29	P29	The traditional family of one man and one woman raising children is the best foundation for society.	Children need married mother and father for optimal development and social stability. Traditional family advocates cite child welfare. Progressives point to successful diverse families and argue this stigmatizes single parents and same-sex couples.	Social	Family Structure	1	core	1	ALL	soc		first
30	P30	Religious values should guide laws and public policy.	Religious principles provide moral foundation that secular law lacks. Faith-based advocates believe divine guidance creates just society. Secularists argue religious law violates freedom of belief and morality doesn't require religion.	Social	Religion in Public Life	1	core	1	ALL	soc	yes	
31	P31	Nations should confront and atone for past injustices, even if it damages national pride.	Countries must acknowledge historical wrongs like slavery and colonialism to heal and progress. Truth advocates see honesty as necessary for justice. Critics think dwelling on past creates guilt, division, and ignores positive achievements.	Social	Historical Reckoning	-1	core	1	ALL	soc	yes	
32	P32	Same-sex couples should have the same legal rights and recognition as opposite-sex couples.	Marriage equality means same-sex couples deserve identical legal recognition as heterosexual couples. LGBT advocates frame this as equal rights. Traditionalists believe marriage has specific meaning and civil unions could provide legal benefits.	Social	LGBTQ+ Rights	-1	core	1	ALL	soc		
33	P33	People should be free to change their legal gender and have it fully recognized in society.	People experiencing gender dysphoria should be able to change legal documents and access appropriate facilities. Trans rights supporters see this as basic dignity and mental health. Skeptics worry about women's spaces, sports fairness, and children's wellbeing.	Social	Trans Rights	-1	core	1	ALL	soc		
34	P34	Immigration and cultural diversity strengthen society.	Immigrants bring new ideas, skills, and energy that benefit receiving countries. Pro-immigration voices celebrate diversity's advantages. Immigration skeptics worry about job competition, cultural cohesion, and strain on public services.	Social	Multiculturalism	-1	core	1	ALL	soc	yes	
35	P35	People should be free to express themselves even if it offends traditional values.	Individual expression shouldn't be limited by others' comfort with tradition. Libertarians value personal freedom and authenticity. Social conservatives think society needs shared standards and unlimited expression undermines social cohesion.	Social	Expression vs. Tradition	-1	core	1	ALL	soc		first
36	P36	Schools should provide comprehensive sex education, including contraception and consent.	Students need accurate information about sexuality, relationships, and safety. Health educators see this as protecting youth and preventing problems. Parent rights advocates want family control over these discussions and worry about age-inappropriate content.	Social	Sex Education	-1	core	1	ALL	soc		second
37	TBE-LC1	Profits mostly exist because workers are unfairly paid less than the value they create.	Workers produce more value than their wages, with the difference becoming owner profits. Labor advocates see exploitation requiring unions or regulation. Capitalists argue owners deserve returns for risk, investment, and coordination.	Economic	Labor & Profit	-1	tiebreaker	1	LEFT_CENTER	econ		
38	TBE-LC2	Strong unions are essential to protect workers, even if they make businesses less efficient.	Without union protection, individual workers have no power against large employers. Union supporters see collective bargaining as essential balance. Free-market advocates think unions protect bad workers, increase costs, and competition protects workers.	Economic	Labor Unions	-1	tiebreaker	1	LEFT_CENTER	econ		
39	TBE-CR1	Big corporations are efficient and successful, not something to be broken up.	Large corporations achieve efficiency through scale and expertise that smaller firms can't match. Corporate defenders see size as natural success. Antitrust advocates worry about monopoly power, political influence, and that breaking up giants increases competition.	Economic	Corporate Size	1	tiebreaker	1	CENTER_RIGHT	econ		
40	TBE-CR2	Maximizing economic growth is more important than reducing inequality.	Growing the economic pie matters more than how it's divided. Growth advocates think expansion eventually helps everyone and redistribution reduces incentives. Equality advocates argue inequality itself slows growth and causes social problems.	Economic	Growth over Equality	1	tiebreaker	1	CENTER_RIGHT	econ	yes	
41	TBA-LC1	People should be free to form any group they like, even if its views are widely unpopular.	Democracy requires allowing even extremist groups to organize and speak freely. Free speech absolutists see this as essential freedom. Others argue democracies can defend themselves and some groups threaten others' rights to exist.	Governance	Freedom of Association	-1	tiebreaker	1	LIB_CENTER	gov		
42	TBA-LC2	Private companies collecting data on citizens is as dangerous as government surveillance.	Tech companies knowing everything about us threatens freedom as much as government spying. Privacy advocates fear corporate manipulation and data breaches. Market optimists trust accountability over government and note people choose to share data.	Governance	Private-Sector Surveillance	-1	tiebreaker	1	LIB_CENTER	gov		
43	TBA-CA1	Children should be taught to obey authority without question.	Children learn discipline and social functioning through respecting authority figures. Traditionalists value order and guidance. Progressive educators think blind obedience prevents critical thinking and enables abuse by those in power.	Governance	Obedience	1	tiebreaker	1	CENTER_AUTH	gov		
44	TBA-CA2	Protecting the nation’s security is more important than protecting individual rights.	Individual freedoms become meaningless if the nation falls to external or internal threats. Security hawks prioritize collective survival. Civil libertarians argue sacrificing rights for security loses what makes society worth protecting.	Governance	National Security vs Individual	1	tiebreaker	1	CENTER_AUTH	gov		
45	ELGA-A-01	Revolutionary movements succeed through centralized command structures.	Revolutions work better when one main group of leaders makes all decisions and everyone else follows orders. This view emphasizes organizational efficiency. Critics worry about power concentration limiting broad participation and democratic input.	Leadership Model	revolution	1	refine	2	EL-GA	ELGA-A		
46	ELGA-A-02	Authentic revolutions arise from spontaneous mass mobilization.	Real revolutions happen when regular people get so angry about their problems that they all rise up together without anyone planning it first. Spontaneous uprising advocates see this as more genuine. Skeptics note it lacks clear goals and planning.	Leadership Model	revolution	-1	refine	2	EL-GA	ELGA-A		
47	ELGA-A-03	Vanguard parties shield movements from reactionary infiltration.	A small group of dedicated revolutionaries protects the bigger movement from enemies who want to weaken it or from people who want to settle for tiny changes. Vanguard supporters claim this maintains focus. Critics worry these groups become authoritarian.	Leadership Model	strategy	1	refine	2	EL-GA	ELGA-A		
48	ELGA-A-04	Grassroots assemblies establish legitimate revolutionary authority.	People making decisions together in local meetings creates better authority than having faraway leaders give orders. Grassroots democrats champion this approach. Skeptics argue it's too slow and different areas might not coordinate well.	Leadership Model	leadership	-1	refine	2	EL-GA	ELGA-A		
49	ELGA-B-01	Socialist construction requires securing national boundaries first.	Building up your own socialist country comes first before helping revolutions in other countries. National socialists argue for domestic strength first. Internationalists think this abandons solidarity with workers fighting capitalism elsewhere.	National vs International	nationalism	1	refine	2	EL-GA	ELGA-B		
50	ELGA-B-02	Workers share deeper solidarity than national citizenship creates.	Workers in different countries have more in common with each other than with rich people in their own country. Class-first advocates believe workers share universal problems. Nationalists argue country and culture significantly shape people's political identities.	National vs International	class	-1	refine	2	EL-GA	ELGA-B		
51	ELGA-B-03	Developing nations require protection from global capital predation.	Poor countries need rules that protect them from rich countries and big companies that want to take their resources. Development advocates support protective measures like import taxes. Free traders argue these slow growth and development.	National vs International	economy	1	refine	2	EL-GA	ELGA-B		
52	ELGA-B-04	International proletarian solidarity transcends national loyalties.	Workers around the world should stick together instead of being loyal to their own countries. Internationalists think patriotism divides natural working-class unity. Nationalists believe love for country remains important for political organizing.	National vs International	internationalism	-1	refine	2	EL-GA	ELGA-B		
53	ELGA-C-01	Peasant communities comprehend oppression through lived experience.	Farmers and country people understand being mistreated better because they've lost their land and seen their communities destroyed. Rural advocates think country people see problems clearer. Urban socialists say city workers face equal unfairness.	Urban vs Rural Base	revolution	1	refine	2	EL-GA	ELGA-C		
54	ELGA-C-02	Industrial proletarians develop unique revolutionary consciousness.	Factory workers understand revolution better because they work together and see how bosses exploit them every day. Industrial marxists think this creates special awareness. Others argue farmers and service workers also understand exploitation through experience.	Urban vs Rural Base	class	-1	refine	2	EL-GA	ELGA-C		
55	ELGA-C-03	Agricultural societies preserve stronger collective social traditions.	Country communities still help each other and work together in ways that city people have forgotten. Rural romantics say these traditions suit socialism perfectly. Urban progressives point out rural areas can also resist change.	Urban vs Rural Base	values	1	refine	2	EL-GA	ELGA-C		
56	ELGA-C-04	Factory organization teaches workers revolutionary discipline methods.	Working in factories teaches people how to organize and work as a team, skills needed for revolution. Industrial organizers think this provides perfect training. Critics say different experiences also teach people to create change.	Urban vs Rural Base	organization	-1	refine	2	EL-GA	ELGA-C		
57	ELGA-D-01	National liberation movements transform into class-based struggles.	Movements fighting to kick out foreign rulers naturally become movements against their own rich people after independence. Anti-colonial theorists say this always happens. Skeptics think fighting colonizers and fighting rich people are different struggles.	Class vs Ethno-Populism	nationalism	1	refine	2	EL-GA	ELGA-D		
58	ELGA-D-02	Ethnic divisions obscure recognition of shared class positions.	Rich people use racial conflicts to keep workers fighting each other instead of uniting against exploitation. Class reductionists think class matters most. Intersectionalists say racism is its own problem needing special attention beyond economics.	Class vs Ethno-Populism	class	-1	refine	2	EL-GA	ELGA-D		
59	ELGA-D-03	Cultural unity mobilizes populations for economic transformation.	Groups with the same culture or ethnicity coming together can build movements that later fight economic problems. Identity-first organizers say shared identity helps people mobilize. Class-first critics worry these movements might not challenge capitalism.	Class vs Ethno-Populism	culture	1	refine	2	EL-GA	ELGA-D		
60	ELGA-D-04	Class analysis reveals social conflicts better than identity politics.	Looking at rich versus poor explains conflicts better than looking at race or culture. Economic determinists believe class is the main issue. Intersectionalists say race, gender, and other identities shape oppression beyond just money.	Class vs Ethno-Populism	unity	-1	refine	2	EL-GA	ELGA-D		
61	ELGA-E-01	Revolutionary armies must merge with their political leadership.	Revolutionary movements work better when military and political leaders are the same people, not separate groups. Unity advocates say this prevents confusion. Critics worry it concentrates too much power and could lead to military dictatorship.	Military Role	fusion	1	refine	2	EL-GA	ELGA-E		
62	ELGA-E-02	Civilian party control prevents military coups and dictatorships.	Political parties must control the military, not the other way around, to prevent generals from taking over. Civilian control advocates say this protects democracy. Military supporters think expertise is sometimes needed in revolutionary situations.	Military Role	civilian	-1	refine	2	EL-GA	ELGA-E		
63	ELGA-E-03	Armed struggle develops revolutionary consciousness through action.	Fighting in armed struggle changes people's beliefs more than peaceful protest does. Armed struggle advocates think combat creates deeper commitment. Pacifists say violence hurts people mentally and makes others not want to join.	Military Role	military	1	refine	2	EL-GA	ELGA-E		
64	ELGA-E-04	Political education achieves deeper transformation than violence.	Teaching people about politics and ideas creates deeper change than just using force to take over government buildings. Education-first advocates believe this changes minds permanently. Action-first supporters say you need to change power structures first.	Military Role	politics	-1	refine	2	EL-GA	ELGA-E		
65	ELGA-F-01	Revolutionary states should preserve their national folk traditions.	Revolutionary governments should protect their traditional music, dances, and customs from being turned into products to sell. Cultural preservationists say this maintains identity. Modernizers think some old traditions might hold back progress.	Cultural Policy	tradition	1	refine	2	EL-GA	ELGA-F		
66	ELGA-F-02	International proletarian culture supersedes all local customs.	Workers everywhere should create one shared revolutionary culture instead of keeping their different national traditions. Internationalists think this unites workers globally. Localists believe forcing uniformity pushes people away from their identities.	Cultural Policy	cosmopolitan	-1	refine	2	EL-GA	ELGA-F		
67	ELGA-F-03	Traditional values strengthen resistance against capitalist systems.	Old community traditions of sharing and helping each other naturally fight against capitalism's selfishness. Traditionalists see customs as defense against markets. Progressives point out traditions can also maintain unfair hierarchies.	Cultural Policy	nationalism	1	refine	2	EL-GA	ELGA-F		
68	ELGA-F-04	Scientific socialism demands abandoning all pre-modern worldviews.	Scientific socialism means giving up old beliefs and superstitions that get in the way of planning society rationally. Modernizers say rational thinking is necessary. Traditionalists believe throwing out all customs alienates people and wastes wisdom.	Cultural Policy	modernism	-1	refine	2	EL-GA	ELGA-F		
69	EMGA-A-01	Religious wisdom provides superior governance to secular knowledge.	Religious teachings provide better guidance for running a country than non-religious expert knowledge. Faith-based advocates believe divine wisdom is superior. Secularists think evidence-based decisions work better than faith-based choices.	Source of Authority	religion	1	refine	2	EM-GA	EMGA-A		
70	EMGA-A-02	Technical competence generates more effective policy outcomes.	Trained experts using facts and data make better government decisions than people following beliefs or traditions. Technocrats say knowledge improves results. Democrats worry experts ignore what regular people want and what's morally right.	Source of Authority	technocracy	-1	refine	2	EM-GA	EMGA-A		
71	EMGA-A-03	Sacred traditions embody timeless truths about political order.	Religious traditions contain ancient wisdom about how people should live together that modern thinking has lost. Traditionalists value these sacred insights. Modernists say religious authority has justified oppression and blocked progress.	Source of Authority	tradition	1	refine	2	EM-GA	EMGA-A		
72	EMGA-A-04	Empirical analysis produces more effective governmental decisions.	Government decisions based on testing what works and measuring results are better than decisions based on political beliefs. Evidence-based advocates support empirical approaches. Critics say not everything important can be measured with numbers.	Source of Authority	science	-1	refine	2	EM-GA	EMGA-A		
73	EMGA-B-01	State planning better achieves national economic development goals.	Government planning where officials decide what gets made and sold works better than letting businesses and prices decide. Central planners say this coordinates development. Market advocates think committees can't handle complex information markets process.	Economic Coordination	statism	1	refine	2	EM-GA	EMGA-B		
74	EMGA-B-02	Market mechanisms allocate resources with superior efficiency.	Prices going up and down, plus businesses competing, distribute goods better than government planners ever could. Market believers trust automatic coordination. Planning advocates say markets create inequality and ignore unprofitable needs.	Economic Coordination	markets	-1	refine	2	EM-GA	EMGA-B		
75	EMGA-B-03	Strategic economic sectors require direct governmental control.	Important industries like electricity, roads, and weapons should be owned by government, not private companies. Nationalization supporters say this serves national needs. Privatizers think government businesses are less efficient than competing private ones.	Economic Coordination	planning	1	refine	2	EM-GA	EMGA-B		
76	EMGA-B-04	Competition generates better outcomes than coordinated planning.	Businesses competing against each other creates better results than planning everything together, even if competition seems wasteful. Competition advocates say this drives improvement. Coordinators think it wastes resources and creates instability.	Economic Coordination	competition	-1	refine	2	EM-GA	EMGA-B		
77	EMGA-C-01	Mass movements provide legitimate authority for new constitutions.	Movements that completely overthrow old governments have more right to rule than those working within corrupt systems. Revolutionaries believe real change needs total breaks. Reformists think gradual change creates more lasting, peaceful improvements.	Revolutionary Origin	revolution	1	refine	2	EM-GA	EMGA-C		
78	EMGA-C-02	Stable governance depends upon maintaining institutional continuity.	Keeping current institutions and procedures stable prevents the chaos that comes from sudden dramatic changes. Conservatives say this maintains beneficial order. Radicals argue protecting failing systems keeps injustice going and blocks needed changes.	Revolutionary Origin	establishment	-1	refine	2	EM-GA	EMGA-C		
79	EMGA-C-03	Revolutionary energy breaks through stagnant political structures.	Revolutionary disruption is the only way to break through corruption and rot in systems that won't reform themselves. Revolution advocates think dramatic action is necessary. Moderates warn revolutions often cause violence and unexpected bad results.	Revolutionary Origin	change	1	refine	2	EM-GA	EMGA-C		
80	EMGA-C-04	Gradual reform produces more durable improvements than revolution.	Making small improvements within current systems creates better lasting change than trying to overthrow everything at once. Incrementalists believe gradual progress works. Revolutionaries say small reforms just make bad systems bearable without fixing them.	Revolutionary Origin	reform	-1	refine	2	EM-GA	EMGA-C		
81	EMGA-D-01	Industrial progress outweighs preserving cultural heritage values.	Building factories and getting new technology matters more than keeping old cultural traditions for a country's survival. Modernizers say this ensures prosperity. Traditionalists believe destroying customs hurts society and loses important knowledge.	Tradition vs Modernization	progress	1	refine	2	EM-GA	EMGA-D		
82	EMGA-D-02	Folk wisdom contains insights that modern thinking neglects.	Knowledge passed down through generations contains solutions to problems that modern science doesn't see or understand. Tradition defenders value ancestral wisdom. Progressives think romanticizing the past ignores real improvements from science.	Tradition vs Modernization	tradition	-1	refine	2	EM-GA	EMGA-D		
83	EMGA-D-03	Rapid technological advancement ensures national competitive survival.	Countries must quickly adopt new technology to avoid being dominated by more advanced nations. Modernizers see this as necessary for independence. Critics warn forcing fast development destroys communities and creates dependency.	Tradition vs Modernization	modernization	1	refine	2	EM-GA	EMGA-D		
84	EMGA-D-04	Traditional social bonds prevent modern isolation and alienation.	Old communities where everyone knew each other provided belonging and meaning that modern society has destroyed. Communitarians miss traditional bonds. Individualists point out modernization also freed people from oppressive old hierarchies.	Tradition vs Modernization	preservation	-1	refine	2	EM-GA	EMGA-D		
85	EMGA-E-01	Different ethnic groups possess inherently different capabilities.	The false idea that different races have different natural abilities is completely wrong and used to justify unfair treatment. Science has definitively proven this false - inequality comes from historical oppression and current discrimination, not biology.	Racial/Universal Vision	hierarchy	1	refine	2	EM-GA	EMGA-E		
86	EMGA-E-02	Universal principles apply equally to all human populations.	Every human being has equal worth and deserves the same rights no matter their race, ethnicity, or culture. This principle has universal agreement, though people still debate how to actually achieve equal treatment in society.	Racial/Universal Vision	universalism	-1	refine	2	EM-GA	EMGA-E		
87	EMGA-E-03	Racial consciousness fundamentally shapes historical development.	The wrong idea that race drives history ignores that economic conditions, politics, and environment actually shape events. This racial determinism misunderstands conflicts by focusing on ethnicity instead of material factors causing change.	Racial/Universal Vision	race	1	refine	2	EM-GA	EMGA-E		
88	EMGA-E-04	Common humanity transcends all ethnic and racial distinctions.	What all humans share is more important than racial or cultural differences between groups. Universalists emphasize common humanity. Critics note this can minimize how racism really affects people's lives differently.	Racial/Universal Vision	equality	-1	refine	2	EM-GA	EMGA-E		
89	EMGA-F-01	Mass rallies generate the political energy for transformation.	Large crowds marching and protesting create the energy and momentum that political movements need to succeed. Rally supporters say this builds strength. Skeptics think protests can replace real organizing and might turn violent.	Mass Mobilization	masses	1	refine	2	EM-GA	EMGA-F		
90	EMGA-F-02	Technocratic administration outperforms populist governance models.	Government run by trained experts makes better decisions than movements led by popular emotion rather than knowledge. Technocrats trust expertise. Populists say rule by experts isn't democratic and ignores values that can't be measured.	Mass Mobilization	technocracy	-1	refine	2	EM-GA	EMGA-F		
91	EMGA-F-03	Street demonstrations establish movements' revolutionary legitimacy.	Taking to the streets in protests proves a movement has real support from regular people, not fake backing. Demonstration advocates see this as proof of legitimacy. Critics note protests can be staged and might not represent everyone.	Mass Mobilization	mobilization	1	refine	2	EM-GA	EMGA-F		
92	EMGA-F-04	Expert governance requires insulation from popular pressures.	Experts need protection from public pressure to make complicated decisions based on knowledge instead of emotion. Technocrats think this improves results. Democrats say it's undemocratic and lets experts ignore what people actually need.	Mass Mobilization	expertise	-1	refine	2	EM-GA	EMGA-F		
93	ERGA-A-01	Divine appointment establishes legitimate political authority.	God chooses who should rule, not people voting in elections - this is what some religious people believe. Theocrats think divine choice matters more than democracy. Secularists say this justifies dictatorship and violates religious freedom.	Source of Rule	divine	1	refine	2	ER-GA	ERGA-A		
94	ERGA-A-02	Nationalist movements authentically express popular sovereignty.	Nationalist movements represent what people really want better than kings and queens who inherited power. Populists see mass movements as true democracy. Critics warn nationalism can be manipulated and exclude minority groups.	Source of Rule	nationalism	-1	refine	2	ER-GA	ERGA-A		
95	ERGA-A-03	Hereditary succession ensures governmental stability and continuity.	Passing power through royal families creates more stable government than democracies that keep changing leaders through elections. Monarchists value this continuity. Republicans say inherited power has no legitimacy regardless of ruler's abilities.	Source of Rule	heredity	1	refine	2	ER-GA	ERGA-A		
96	ERGA-A-04	Political parties most effectively mobilize national energies.	Political parties organize people's energy toward goals better than traditional rulers or spontaneous movements. Party advocates think this channels enthusiasm well. Critics say parties become self-serving and lose touch with regular people.	Source of Rule	party	-1	refine	2	ER-GA	ERGA-A		
97	ERGA-B-01	Church teachings should directly guide state policy decisions.	Religious rules from holy books should determine government policy, not human reasoning or democratic votes. Theocrats believe God's law is supreme. Secularists say this forces one religion on everyone and violates freedom.	Religious Centrality	church	1	refine	2	ER-GA	ERGA-B		
98	ERGA-B-02	National interests must override religious considerations entirely.	A country's needs matter more than religious rules when making political decisions about security or development. Nationalists put country first. Religious advocates think ignoring spiritual values upsets believers and removes moral limits on power.	Religious Centrality	secular	-1	refine	2	ER-GA	ERGA-B		
99	ERGA-B-03	Sacred law takes precedence over all secular legislation.	Religious rules from holy books should be more important than laws made by people, according to this view. Fundamentalists believe God's commands must be followed even contradicting government decisions. Secularists say this forces one religion on everyone.	Religious Centrality	religion	1	refine	2	ER-GA	ERGA-B		
100	ERGA-B-04	Political effectiveness demands pragmatic flexibility over dogma.	Leaders need to be flexible and practical rather than always following strict religious rules that might prevent necessary actions. Pragmatists think adaptation is important. Fundamentalists believe abandoning religious principles for convenience is wrong.	Religious Centrality	pragmatism	-1	refine	2	ER-GA	ERGA-B		
101	ERGA-C-01	Central planning best mobilizes resources for national objectives.	Government planning and control of the economy works better than letting businesses and markets decide everything. Statists think government directs resources toward important goals. Market advocates say committees can't handle complex information markets process automatically.	Economic Direction	command	-1	refine	2	ER-GA	ERGA-C		
102	ERGA-C-02	Free markets generate prosperity when backed by strong authority.	Free markets work well when there's a strong government keeping order and protecting property. Authoritarian capitalists believe combining business freedom with political control creates wealth. Critics worry this gives government too much power over people's lives.	Economic Direction	markets	1	refine	2	ER-GA	ERGA-C		
103	ERGA-C-03	State corporations serve national interests better than private firms.	Government-owned companies in important industries serve the country better than private businesses that only care about profit. State socialists think public firms focus on national needs. Privatizers say government businesses are less efficient than private ones.	Economic Direction	statism	-1	refine	2	ER-GA	ERGA-C		
104	ERGA-C-04	Private property requires authoritarian protection to exist.	Strong non-democratic government is needed to protect private property from poor majorities who might vote to take it away. Anti-democratic capitalists think democracy threatens ownership. Democrats believe this view justifies dictatorship to protect the wealthy.	Economic Direction	property	1	refine	2	ER-GA	ERGA-C		
