Macro Cell Code	Macro Cell Label	Coordinate Range	Ideology	Friendly Label	Explanation	Recent US/Western Examples	Align Ideology 1	AI1 text	Align Ideology 2	AI2 text	Surprise Ideology 1	SI1 text	Surprise Ideology 2	SI2 text
EL-GA	Revolutionary Communism & State Socialism	x: -7.78 to -5.56,  y: 5.56 to 7.78	National Bolshevism	Red-and-Black Nationalist	Mixes far-left communist economics with ultra-nationalist politics, calling for strict state control of industries and resources to achieve socialism while also demanding fierce loyalty to the nation. Rejects both free markets and global socialism, seeking instead a system that combines national pride with collective ownership and heavy-handed governance.	The National Bolshevik Party in post-Soviet Russia in the 1990s, led by Eduard Limonov, mixed communism with nationalism. Though fringe, it gained a small following among radicals. While Eastern Europe saw some influence, this ideology remains marginal and has no mainstream presence in the modern Western world.	Juche	National Bolshevism and Juche blend nationalism and socialism, demanding absolute control to shield their nations from outside influence and decay.	State Socialism	Both National Bolshevism and State Socialism turn to central planning to direct the economy, trusting state power to preserve their vision of order.	Paleoconservatism	Each of them distrusts globalization, though one seeks tradition and the other a radical state vision.	Progressivism	Each of them sees society as malleable, though one imagines authoritarian rebirth and the other reform.
EL-GA	Revolutionary Communism & State Socialism	x: -5.56 to -3.33,  y: 5.56 to 7.78	Ba'athism	Pan-Arab Socialist	Seeks to unify multiple nations, originally conceived for the Arab world, under one secular, socialist-leaning authoritarian state. Promises social welfare and equality while concentrating power in a single ruling party. Frames itself as anti-colonial and modernizing but tolerates little dissent and expects absolute loyalty to the new centralized authority.	Saddam Hussein’s Iraq and Hafez and Bashar al-Assad’s Syria built secular authoritarian regimes with Ba’athist ideology, promising unity and socialism. These systems shaped the Middle East but have no Western counterpart. Their mix of nationalism, one-party rule, and repression is regionally specific and rarely replicated elsewhere.	State Socialism	Ba'athism and State Socialism share a faith in central authority to shape society and economy, combining control with promises of equality.	National Capitalism	Both Ba'athism and National Capitalism see economic strength as key to national identity, mixing state direction with national pride.	Liberal Conservatism	The two focus on preserving their vision of stability, even if the content of that vision differs.	Social Libertarianism	Both imagine reshaping power for the community, though in very different ways.
EM-GA	Authoritarian Statist Centrism	x: -3.33 to -1.11,  y: 5.56 to 7.78	State Socialism	State-Run Economy Advocate	Believes a powerful state should own or tightly control essential industries, provide extensive social programs, and manage the economy to ensure fairness and security. Promises equality and stability but leaves little room for competition or dissent, trusting the government to deliver prosperity while preventing private power from dominating public life.	Nordic economies, with their mix of capitalism, state intervention, and generous welfare, hint at elements of state-led fairness. Politicians like Bernie Sanders point to them when promoting policies like universal healthcare. While democratic, these countries showcase a softer but still interventionist approach to governance.	Socialism	State Socialism and Socialism share the goal of common ownership, though State Socialism places that power squarely in the hands of the government.	Democratic Socialism	Both support public control of resources to ensure fairness, differing mostly in how democracy plays a role in that control.	Civic Conservatism	Together they care about shared responsibility, though they define it differently.	Paleo-Libertarianism	The two criticize big global forces, though they draw opposite conclusions.
EM-GA	Authoritarian Statist Centrism	x: -1.11 to 1.11,  y: 5.56 to 7.78	Integralism	Church-Guided Statist	Advocates for a state deeply tied to traditional religion, often Catholicism, and structured to enforce moral values from the top down. Promotes an economy organized into state-managed “corporate” groups of workers and owners. Believes order and virtue come from hierarchy, faith, and obedience, with personal freedoms secondary to spiritual and national goals.	Portuguese leader António de Oliveira Salazar’s Estado Novo regime in the mid-20th century promoted integralism: Catholic hierarchy fused with authoritarian rule. Today, only a handful of Catholic intellectual circles in Europe and the United States reference neo-integralism as a cultural ideal rather than an active political movement.	Falangism	Integralism and Falangism weave religion into the state, seeing faith as the foundation for national unity and social discipline.	Autocratic Theocracy	Both rely on sacred authority to justify power, treating politics as an extension of moral duty and devotion.	Progressivism	Each side aims to reshape culture’s core, though one revives tradition and the other reinvents it.	Civil Libertarianism	Each side cares deeply about values, but one enforces them and the other frees them.
EM-GA	Authoritarian Statist Centrism	x: 1.11 to 3.33,  y: 5.56 to 7.78	State Capitalism	Government-Directed Capitalist	Endorses a mostly capitalist economy but wants the state to own or oversee major industries to serve national goals. Believes some sectors should prioritize the country over profit. This model mixes private enterprise with state intervention, creating a blurred line between business and government and prioritizing national strength above free markets.	Modern China’s mix of state-owned giants and market reforms illustrates state capitalism, with government-backed industries competing in markets. Western parallels include mid-20th-century Gaullist France, where nationalized industries operated alongside private ones, though no Western country today replicates China’s exact model.	Authoritarian Capitalism	State Capitalism and Authoritarian Capitalism use markets for national strength, letting the state steer industry for strategic goals.	National Capitalism	Both see the economy as a servant of state power, blending ownership models to advance national priorities.	Progressivism	These two believe policy can transform economies, even if their aims are worlds apart.	Traditional Conservatism	Both value order, though one builds it from markets and the other from heritage.
ER-GA	Authoritarian Right & Corporatist Monarchism	x: 3.33 to 5.56,  y: 5.56 to 7.78	Constitutional Monarchy	Ceremonial Monarch Supporter	Supports a system where a king or queen remains head of state but their role is limited by a constitution and an elected parliament. Symbolizes tradition and continuity, while real governing power rests with democratic institutions. Balances ceremonial monarchy with functional democracy, preserving heritage without abandoning representative rule.	The United Kingdom, Japan, and Sweden maintain constitutional monarchies today, where the king or queen is mostly ceremonial, and elected governments hold power. These systems balance heritage with democracy, showing how traditional monarchies evolved into symbolic roles within fully functioning democratic states.	Civic Conservatism	Constitutional Monarchy and Civic Conservatism share faith in institutions and gradual reform, tying stability to respect for tradition and law.	Liberal Democracy	Both rely on elected governments for real power, leaving the monarch as a cultural anchor rather than a ruler.	Distributism	The pair stress balance, though one frames it in politics and the other in property.	Libertarianism	The pair tolerate individual freedom, even if one does so under a ceremonial crown.
ER-GA	Authoritarian Right & Corporatist Monarchism	x: 5.56 to 7.78,  y: 5.56 to 7.78	Feudalism	Medieval Hierarchist	Follows a medieval-style hierarchy where kings grant land to nobles in exchange for loyalty and service, while peasants labor for protection. Society is organized around rigid obligations and duties, with little personal freedom. This worldview romanticizes feudal order, seeing it as stable and honorable, even though it imposes strict class divisions.	Europe during the Middle Ages, such as 12th-century England or France, ran on feudalism: kings granted land to nobles in exchange for loyalty, and peasants worked under rigid duties. Today, no country operates under this system, and it survives mainly in historical reenactments and fantasy literature.	Absolute Monarchy	Feudalism and Absolute Monarchy share a rigid hierarchy built on loyalty and land, where power is inherited and obligations bind every layer of society.	Anarcho-Feudalism	Both imagine rule by localized lords, with relationships of service and protection forming the core of social order.	Distributism	Each of them cares about local ties and small scale stewardship, though with different power dynamics.	Georgism	Both link land to responsibility, though in very different contexts.
ER-GA	Authoritarian Right & Corporatist Monarchism	x: 7.78 to 10.00,  y: 5.56 to 7.78	Authoritarian Capitalism	Dictator’s Market Model	Prefers a dictatorship or harsh authoritarian government that maintains law and order while still allowing capitalism and private enterprise to thrive. Markets function under tight state oversight, ensuring profits do not undermine the regime. Promotes nationalism and control over society while tolerating business activity if it serves the leader’s goals.	Chile under General Pinochet from 1973 to 1990 is a striking example of authoritarian capitalism. He imposed free-market reforms while ruling with fear. Singapore is sometimes cited as a softer case: strict rules and a pro-business climate, but without Pinochet’s level of brutality or political repression.	State Capitalism	Authoritarian Capitalism and State Capitalism embrace markets but bend them to state power, using industry to serve political goals.	National Capitalism	Both see the economy as a tool for national ambition, mixing control and enterprise as needed.	Liberal Conservatism	The two like orderly markets, though one manages them heavily and the other lightly.	Progressivism	Each of them sees the state as shaping the future, though with opposing motives.
EL-GA	Revolutionary Communism & State Socialism	x: -10.00 to -7.78,  y: 3.33 to 5.56	Trotskyism	Global Revolutionary Socialist	Calls for endless international revolution to spread socialism worldwide, rejecting any idea of building socialism in only one country. Sees compromise as betrayal, and authoritarian distortions as dangerous. Believes socialism must constantly expand and renew itself, with workers everywhere rising together to create a borderless socialist future.	Leon Trotsky and his followers in the Fourth International championed global revolution, insisting socialism could not remain in one country. Today, small Trotskyist parties in the West, like the UK Socialist Workers Party, continue this mission, advocating for worker uprisings worldwide despite having little influence.	Bolshevik Marxism	Trotskyism and Bolshevik Marxism share revolutionary roots, pushing for global worker uprisings and rejecting complacency under capitalism.	Luxemburgism	Trotskyism and Luxemburgism both prize democracy in revolution, even while pushing for deep systemic change.	Progressivism	These two believe in constant social progress, though one through reform and the other through revolt.	Civic Conservatism	The two value shared duties, though they define those duties differently.
EL-GA	Revolutionary Communism & State Socialism	x: -7.78 to -5.56,  y: 3.33 to 5.56	Left-Wing Nationalism	Socialist Patriot	Blends socialist economic policies like wealth redistribution and state welfare with passionate national pride and independence movements. Often arises in anti-colonial or liberation struggles. Promises equality and unity while insisting on freedom from foreign control, using socialism not only to change the economy but also to build cultural identity.	Leaders like Ho Chi Minh blended communism with nationalism to fight colonialism, inspiring movements worldwide. In the West, some Irish republican factions adopted similar socialist-patriotic ideals. These examples show how left-wing ideas combined with independence struggles to fuel resistance movements against foreign rule.	Juche	Left-Wing Nationalism and Juche tie love of country to socialist ideals, blending identity and equity into one narrative of liberation.	National Bolshevism	Both mix nationalism with radical economics, seeking to free their nations from outside dominance.	Traditional Conservatism	The pair stress loyalty to the nation, though one preserves the past and the other rewrites it.	Liberalism	Together they speak of freedom, though with different visions of who and what that includes.
EL-GA	Revolutionary Communism & State Socialism	x: -5.56 to -3.33,  y: 3.33 to 5.56	Longism	Populist Wealth-Sharer	Draws on Huey Long’s ideas of heavy taxation on the rich and large corporations to fund generous social programs for ordinary citizens. Envisions a charismatic, centralized leader using state power to “share the wealth.” Promises fairness and uplift for the poor while relying on strong, sometimes authoritarian leadership to impose its vision.	Huey Long’s rule in Louisiana during the 1920s and 1930s embodied populism with heavy taxes on the rich and “share the wealth” programs. Modern left populists echo his rhetoric about taxing the wealthy, but none wield his level of centralized power or authoritarian control to enforce their agenda.	Distributism	Longism and Distributism share suspicion of concentrated wealth, preferring broad property ownership and programs to uplift ordinary people.	Democratic Socialism	Both Longism and Democratic Socialism seek fairness by taxing the rich to fund services for the poor, though Longism is more centralized.	Civic Conservatism	Each side values strong communities, though one seeks them through reform and the other through duty.	National Capitalism	Both want economic direction, though their end goals differ.
EM-GA	Authoritarian Statist Centrism	x: -3.33 to -1.11,  y: 3.33 to 5.56	Distributism	Small-Property Advocate	Promotes the Catholic-inspired idea that widespread ownership of property by families and cooperatives creates a more just society. Opposes giant monopolies and overly centralized states alike. Advocates for local businesses, family farms, and community-led efforts, aiming for an economy that is neither dominated by corporations nor smothered by bureaucracy.	Writers G.K. Chesterton and Hilaire Belloc promoted distributism in the early 20th century, arguing for widespread property ownership by families and cooperatives. Today, their influence lingers in some localist economic movements, credit unions, and community farming efforts that reject both corporate monopolies and heavy state control.	Longism	Distributism and Longism share the belief that spreading wealth widely creates fairness, favoring small businesses and local ownership over monopolies.	Civic Conservatism	Both Distributism and Civic Conservatism value family, community, and responsibility, seeing them as core to a healthy society.	Anarcho-Mutualism	These two prefer local control of property, though their routes there differ sharply.	Traditional Conservatism	The pair honor heritage, though one envisions smaller scale ownership.
EM-GA	Authoritarian Statist Centrism	x: -1.11 to 1.11,  y: 3.33 to 5.56	State Liberalism	Top-Down Reformer	Believes a strong centralized government should impose liberal reforms such as secularization, modernization, and social progress from above. Sees gradual democracy as too slow or unreliable. Prioritizes swift reform, trusting elites to guide society toward equality and progress, while allowing limited public input and tolerating few obstacles to change.	Mustafa Kemal Atatürk’s Turkey in the 1920s and 1930s forced rapid secular reforms, dismantling Ottoman traditions to modernize society. Singapore under Lee Kuan Yew later mirrored this blend of authoritarian direction and modernization. Both cases show how states can tightly steer cultural and economic transformation.	Social Liberalism	State Liberalism and Social Liberalism share trust in government to secure individual rights and well-being, using policy to ensure fairness.	Progressivism	Both believe laws can drive change and expand opportunity, shaping society through reform and state action.	Liberal Conservatism	Together they rely on rules for stability, though one reforms them more often.	Centrism	Each of them seeks balance, though their mix of market and state differs.
EM-GA	Authoritarian Statist Centrism	x: 1.11 to 3.33,  y: 3.33 to 5.56	Civic Conservatism	Community-Minded Conservative	Emphasizes preserving traditional values while strengthening local communities and civil society. Promotes volunteerism and personal responsibility instead of relying on a large state. Values cultural continuity, family, and service to neighbors, believing that civic duty and strong local bonds are the foundation of a healthy and stable society.	Britain’s “Big Society” initiative under David Cameron encouraged volunteerism and local action, echoing civic conservatism. In the U.S., George H.W. Bush’s “thousand points of light” message similarly promoted community service. These examples show conservative leaders appealing to civic duty while limiting state intervention.	Traditional Conservatism	Civic Conservatism and Traditional Conservatism share respect for heritage and responsibility, aiming for continuity and careful change.	Liberal Conservatism	Both Civic and Liberal Conservatism tie community values to steady governance, stressing social order and gradual reform.	Socialism	The pair talk of duty to others, though one roots it in community and the other in class.	Libertarianism	Both admire voluntary action, though one frames it with tradition.
ER-GA	Authoritarian Right & Corporatist Monarchism	x: 3.33 to 5.56,  y: 3.33 to 5.56	Right-Wing Nationalism	Hardline Patriot	Strongly prioritizes national sovereignty, cultural traditions, and law and order. Often supports strict immigration limits and protectionist trade policies to shield domestic industries. Portrays itself as defending the nation from outside threats and unwanted changes, framing patriotism and loyalty to heritage as essential to preserving identity.	Donald Trump’s “America First” agenda and European nationalist parties like Marine Le Pen’s National Rally represent modern nationalist conservatism. They push for tighter borders, economic protection, and cultural preservation. While they differ in tone and intensity, both reflect the same broad political current in today’s West.	Paleoconservatism	Right-Wing Nationalism and Paleoconservatism both emphasize cultural preservation and skepticism of global influence, tying identity to a shared national story.	National Capitalism	Both see economic policy as a tool to fortify national pride and strength, shaping markets to defend sovereignty and protect their vision of heritage.	Progressivism	Each side seeks sweeping change, though one builds backward and the other forward.	Liberalism	These two value freedom in rhetoric, but frame it very differently.
ER-GA	Authoritarian Right & Corporatist Monarchism	x: 5.56 to 7.78,  y: 3.33 to 5.56	Paleoconservatism	Old-Guard Conservative	Yearns for an older, stricter form of conservatism. Champions traditional values, isolationist foreign policy, and limited immigration while distrusting globalization and military interventions abroad. Seeks to return to a world of clear hierarchies and familiar norms, skeptical of rapid change and wary of entanglements beyond the nation’s borders.	In the U.S., Pat Buchanan in the 1990s embodied paleoconservatism, stressing isolationism and cultural traditionalism. Figures like Steve Bannon later echoed some of his themes in the Trump era. Though less dominant today, these ideas still shape pockets of the right-wing political conversation in America.	Traditional Conservatism	Paleoconservatism and Traditional Conservatism prize heritage, faith, and duty, resisting the pull of globalism and rapid cultural transformation.	Right-Wing Nationalism	Both stress sovereignty and national identity, wary of outside forces reshaping their culture or weakening their sense of rootedness.	Juche	The two distrust foreign influence, though for entirely different reasons.	Georgism	Each side looks to land for meaning, though one seeks heritage and the other fairness.
ER-GA	Authoritarian Right & Corporatist Monarchism	x: 7.78 to 10.00,  y: 3.33 to 5.56	National Capitalism	Protectionist Capitalist	Advocates a capitalist economy designed to strengthen the nation and protect domestic industries from global competition. Supports tariffs, industrial policy, and strategic state partnerships to achieve self-sufficiency. Frames economic nationalism as essential for sovereignty, arguing that unfettered free trade weakens the country and its workers.	Trump-era trade policies, including tariffs and a “buy American” push, revived old economic nationalism. Historical precedents include 19th-century U.S. tariff protections and France’s industrial planning under Charles de Gaulle. Together, these cases show how states mix patriotism with economic strategy to shelter domestic industries.	Authoritarian Capitalism	National Capitalism and Authoritarian Capitalism both tie economic policy to state authority, bending markets to national purpose rather than leaving them free.	State Capitalism	Both see the state directing the economy when needed, merging private and public control for strategic goals and cultural security.	Progressivism	These two see markets as tools to be guided, even if the direction differs.	Libertarianism	Both talk of freedom, though one means national and the other personal.
EL-GM	Democratic Socialism & Left Populism	x: -10.00 to -7.78,  y: 1.11 to 3.33	Posadism	Space-Age Communist	An ultra-fringe communist offshoot that bizarrely embraces nuclear war as a way to spark global revolution. Believes mass destruction could wipe away capitalism and open a path to socialism. Some even speculate that alien beings might help achieve utopia afterward. Exists mostly as a fringe theory, often treated with skepticism or dark humor.	J. Posadas, an Argentine Trotskyist from the 1960s, created one of the strangest ideological offshoots by suggesting nuclear war could spark socialism and even speculating that aliens might aid humanity afterward. Today, his ideas survive mostly as an online meme rather than any organized or serious political effort.	Trotskyism	Posadism grows out of Trotskyism, sharing its call for world revolution but layering on surreal ideas like nuclear war and alien help to reach communism.	Maoism	Like Maoism, Posadism sees upheaval as necessary for transformation, though its imagined forces are far stranger than peasant armies.	Progressivism	The pair expect transformation, though Posadism’s vision is fantastical.	Eco-Socialism	The pair tie humanity’s fate to sweeping change, even if one imagines UFOs.
EL-GM	Democratic Socialism & Left Populism	x: -7.78 to -5.56,  y: 1.11 to 3.33	Socialism	Shared Economy Advocate	Believes that major industries and resources should be owned or strictly regulated by the community, usually through the state or cooperatives. Seeks to ensure wealth is distributed fairly and everyone’s needs are met. Promotes economic equality and social welfare while curbing unchecked private power, but risks inefficiency through heavy oversight.	Many European countries have socialist-inspired parties, like France’s Socialist Party or the historic UK Labour platform. In the U.S., Bernie Sanders’ movement brought socialist ideas like Medicare for All into mainstream debate. While democratic, these efforts reflect a lasting thread of socialist thinking in Western politics.	Democratic Socialism	Socialism and Democratic Socialism share the aim of shared ownership and fairness, differing mainly in whether democracy is their chosen path forward.	State Socialism	Both envision public control of resources to end inequality, but State Socialism relies more heavily on centralized power to deliver it.	Civic Conservatism	Each of them stresses duty to the group, though for very different ideals.	Distributism	Each of them values spreading resources, though in distinct ways.
EL-GM	Democratic Socialism & Left Populism	x: -5.56 to -3.33,  y: 1.11 to 3.33	Democratic Socialism	Ballot-Box Socialist	Seeks to achieve socialist principles like public ownership and extensive welfare gradually through democratic elections instead of violent revolution. Promotes reforms and social programs while respecting institutions and avoiding authoritarian control. Frames democracy as a vehicle for socialism, aiming for fairness without sacrificing freedoms or rights.	Bernie Sanders and Alexandria Ocasio-Cortez call themselves democratic socialists while working through elections. In Europe, similar parties govern by expanding welfare and public services. These movements prove that socialism can operate within democratic systems, reshaping policy without dismantling representative government or relying on revolution.	Social Democracy	Democratic Socialism and Social Democracy share the belief that markets can coexist with public control to ensure equity and protect citizens’ welfare.	Socialism	Both push for shared ownership and redistribution, with Democratic Socialism relying more on elections to achieve its aims.	Civic Conservatism	Together they care about community bonds, though they define them differently.	Liberal Conservatism	Together they mix tradition and reform, but with very different balances.
